,unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,city,status,resolution_action_updated_date,borough,park_facility_name,park_borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
0,55782211,2022-10-24T12:00:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11208,1253 GLENMORE AVENUE,GLENMORE AVENUE,BROOKLYN,Open,2022-10-24T12:00:00.000,BROOKLYN,Unspecified,BROOKLYN,1022408,186273,40.67787087341118,-73.86243061115043,"{'latitude': '40.67787087341118', 'longitude': '-73.86243061115043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,55781354,2022-10-24T12:00:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11220,4502 7 AVENUE,7 AVENUE,BROOKLYN,Open,2022-10-24T12:00:00.000,BROOKLYN,Unspecified,BROOKLYN,983389,174326,40.64516119631837,-74.00310260308574,"{'latitude': '40.64516119631837', 'longitude': '-74.00310260308574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,55781322,2022-10-24T01:00:14.000,NYPD,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,62-16 39 AVENUE,39 AVENUE,WOODSIDE,In Progress,2022-10-24T01:36:54.000,QUEENS,Unspecified,QUEENS,1011579,211386,40.74684008722238,-73.90136995543313,"{'latitude': '40.74684008722238', 'longitude': '-73.90136995543313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,55782182,2022-10-24T01:00:06.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10304,346 MOSEL AVENUE,MOSEL AVENUE,STATEN ISLAND,In Progress,2022-10-24T01:25:39.000,STATEN ISLAND,Unspecified,STATEN ISLAND,961739,160845,40.60813013288857,-74.0810731325249,"{'latitude': '40.60813013288857', 'longitude': '-74.0810731325249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,55787088,2022-10-24T00:59:49.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11220,749 53 STREET,53 STREET,BROOKLYN,In Progress,2022-10-24T01:16:51.000,BROOKLYN,Unspecified,BROOKLYN,982427,172488,40.640116135446775,-74.00656866178494,"{'latitude': '40.640116135446775', 'longitude': '-74.00656866178494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,55786446,2022-10-24T00:59:22.000,DHS,Homeless Person Assistance,Non-Chronic,Subway,,,,,In Progress,,MANHATTAN,Unspecified,MANHATTAN,988096,206273,40.7328475654446,-73.98612274808997,"{'latitude': '40.7328475654446', 'longitude': '-73.98612274808997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,55784780,2022-10-24T00:59:20.000,DHS,Homeless Person Assistance,Non-Chronic,Subway,,,,,In Progress,,QUEENS,Unspecified,QUEENS,1003982,213272,40.75203689491522,-73.92878189221653,"{'latitude': '40.75203689491522', 'longitude': '-73.92878189221653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,55787171,2022-10-24T00:59:16.000,NYPD,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11413,220-28 147 AVENUE,147 AVENUE,SPRINGFIELD GARDENS,In Progress,,QUEENS,Unspecified,QUEENS,1050632,179602,40.65939387780832,-73.76074193237625,"{'latitude': '40.65939387780832', 'longitude': '-73.76074193237625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
8,55782187,2022-10-24T00:59:12.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10314,3 FRASER STREET,FRASER STREET,STATEN ISLAND,In Progress,2022-10-24T01:19:54.000,STATEN ISLAND,Unspecified,STATEN ISLAND,941257,153344,40.58746573279302,-74.1547909885061,"{'latitude': '40.58746573279302', 'longitude': '-74.1547909885061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
9,55785491,2022-10-24T00:59:06.000,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,744 MYRTLE AVENUE,MYRTLE AVENUE,BROOKLYN,In Progress,2022-10-24T01:19:26.000,BROOKLYN,Unspecified,BROOKLYN,997258,192459,40.69492270902092,-73.953090842507,"{'latitude': '40.69492270902092', 'longitude': '-73.953090842507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
